,Shannon,Sobs,input,filtered,percentage of input passed filter,denoised,merged,percentage of input merged,non-chimeric,percentage of input non-chimeric,Date,Year,SampleType,Dosing,Time,InfluentFlowgalpermin,WindSpeedmps,WindDirection,H2OUse,PercentCloudCover,SamPortNum,PSampleID,ImidAbsorbance,ImidConcentration,PyreAbsorbance,PyreConcentration,FilterVolmL,ConductivitymgL,TempC,Turbidityppm,Phosppm,Nitratesppm,DisO2ppm,Salinity,pH,avgImidppm,avgPyreppm,ImidConcentrationppm,PyreConcentrationppm,TurbidityppmSONDE,NitratesppmSONDE,DisO2ppmSONDE,SalinitySONDE,pHSONDE
SB0408_S94,3.775618879,180,12965,11766,90.75,10674,7638,58.91,6361,49.06,9/11/19,2019,Sediment,post,8:15:00,29.6,1.6,E,3,100,4,P_0178,0.7903,-0.13233,0.7048,0.67339,360,1657,19,7,1.25,32.4,4,3,7.5,-0.160795,0.641263,,,,,,,
SB0409_S95,4.825648756,208,7097,6200,87.36,5498,4287,60.41,4039,56.91,9/11/19,2019,Sediment,post,11:20:00,16.8,1,N,0,0,1,P_0179,0.8219,-0.17198,0.6874,0.957107,900,1756,20,3,1.17,28.6,7.5,0,7.7,-0.158785,1.2095735,,,,,,,
SB0410_S96,3.433950857,160,13041,11804,90.51,11032,8821,67.64,7381,56.6,9/11/19,2019,Sediment,post,11:20:00,16.8,1,N,0,0,2,,,,,,300,1785,21,13,1.05,29.6,1.7,1,7.6,-0.158785,1.2095735,,,,,,,
SB0411_S97,2.956105505,49,1961,1693,86.33,1471,1223,62.37,1197,61.04,9/11/19,2019,Sediment,post,11:20:00,16.8,1,N,0,0,3,,,,,,360,1774,20,19,1.2,27.5,4.6,0,7.6,-0.158785,1.2095735,,,,,,,
SB0413_S99,4.738999706,185,3683,3210,87.16,2872,2552,69.29,2439,66.22,9/11/19,2019,Sediment,post,14:00:00,14.5,4.3,W,0,0,1,P_0181,0.78005,-0.11907,0.599,3.336843,300,1593,20.2,0,1.19,25.8,7,2,7.5,-0.1229,2.307233,,,,,,,
SB0415_S101,4.689653505,179,5910,5016,84.87,4425,3129,52.94,2956,50.02,9/11/19,2019,Sediment,post,14:00:00,14.5,4.3,W,0,0,3,,,,,,360,1666,22.8,6,1.06,24.8,3.9,3,7.5,-0.1229,2.307233,,,,,,,
SB0416_S102,4.859732997,254,11880,10678,89.88,9565,6703,56.42,6311,53.12,9/11/19,2019,Sediment,post,14:00:00,14.5,4.3,W,0,0,4,P_0182,0.78595,-0.12673,0.67055,1.277623,360,1657,21.5,0,0.83,22.3,1.7,4,7.5,-0.1229,2.307233,,,,,,,
SB0417_S103,5.061329099,250,9144,8078,88.34,7327,5401,59.07,4955,54.19,9/11/19,2019,Sediment,post,17:05:00,12.9,2.5,W,0,0,1,P_0183,0.8163,-0.16509,0.73945,0.225036,240,1842,18,14,1.38,21.5,8.7,2,7.6,-0.155025,0.6201195,,,,,,,
SB0418_S104,4.572651976,244,17995,15968,88.74,14750,10470,58.18,9176,50.99,9/11/19,2019,Sediment,post,17:05:00,12.9,2.5,W,0,0,2,,,,,,300,1747,21,27,1.19,20.9,4.8,2,7.5,-0.155025,0.6201195,,,,,,,
SB0419_S105,5.045215583,258,9544,8428,88.31,7477,5250,55.01,4818,50.48,9/11/19,2019,Sediment,post,17:05:00,12.9,2.5,W,0,0,3,,,,,,360,1750,22,16,1.11,21.9,2.3,2,7.4,-0.155025,0.6201195,,,,,,,
SB0420_S106,3.506068874,82,3055,2634,86.22,2417,2242,73.39,2205,72.18,9/11/19,2019,Sediment,post,17:05:00,12.9,2.5,W,0,0,4,P_0184,0.8002,-0.14496,0.68415,1.015203,900,1745,20,13,1.08,25.6,2,1,7.5,-0.155025,0.6201195,,,,,,,
SB0421_S107,4.583095121,144,2564,2260,88.14,1962,1689,65.87,1606,62.64,9/12/19,2019,Sediment,post,8:00:00,0,10,SE,0,,1,P_0185,0.80545,-0.15157,0.64145,1.959613,420,1120,15,5,1.25,30.4,4.5,0,7.6,-0.11097,2.550006,,,,,,,
SB0423_S109,4.567801734,176,6652,5765,86.67,5098,3894,58.54,3694,55.53,9/12/19,2019,Sediment,post,8:00:00,0,10,SE,0,,3,,,,,,300,1702,17,15,1.14,44.6,2.5,1,7.6,-0.11097,2.550006,,,,,,,
SB0424_S110,5.090008317,278,13032,11373,87.27,10116,6772,51.96,6256,48,9/12/19,2019,Sediment,post,8:00:00,0,10,SE,0,,4,P_0186,0.7437,-0.07037,0.60415,3.140399,420,1657,17,11,1.65,37.6,0.8,2,7.7,-0.11097,2.550006,,,,,,,
SB0425_S111,4.868554758,242,12413,10935,88.09,9789,6391,51.49,5756,46.37,9/12/19,2019,Sediment,post,11:00:00,0,0,,0,,1,P_0187,0.7503,-0.07941,0.57895,4.194575,180,1600,24.5,49,1.41,45.6,5,1,7.7,-0.126035,2.1991485,,,,,,,
SB0426_S112,4.667667086,224,15123,13084,86.52,11795,8134,53.79,7373,48.75,9/12/19,2019,Sediment,post,11:00:00,0,0,,0,,2,,,,,,180,1644,23,11,1.18,46.6,1.8,0,7.6,-0.126035,2.1991485,,,,,,,
SB0427_S113,5.112822984,270,14883,12167,81.75,10911,6851,46.03,6267,42.11,9/12/19,2019,Sediment,post,11:00:00,0,0,,0,,3,,,,,,300,1665,22,29,1.18,45.8,6.4,0,7.6,-0.126035,2.1991485,,,,,,,
SB0428_S114,4.289857158,178,10977,9558,87.07,8652,6233,56.78,5689,51.83,9/12/19,2019,Sediment,post,11:00:00,0,0,,0,,4,P_0188,0.82245,-0.17266,0.7414,0.203722,360,1641,20.6,9,1.26,52,0.9,1,7.6,-0.126035,2.1991485,,,,,,,
SB0429_S115,4.00487048,179,12021,10170,84.6,9334,6763,56.26,5885,48.96,9/12/19,2019,Sediment,post,14:09:00,0,,W,0,0,1,P_0189,0.76565,-0.10009,0.81855,-0.3989,110,1720,21.3,59,1.51,46.8,2.5,,,-0.086605,0.5304625,,,,,,,
SB0431_S117,4.104568153,174,12233,10132,82.83,9041,5773,47.19,5187,42.4,9/12/19,2019,Sediment,post,14:09:00,0,,W,0,0,3,,,,,,70,1606,20.5,74,1.17,41.2,3.3,0,7.6,-0.086605,0.5304625,,,,,,,
SB0432_S118,4.701293423,208,8001,7027,87.83,6544,6014,75.17,5809,72.6,9/12/19,2019,Sediment,post,14:09:00,0,,W,0,0,4,P_0190,0.7457,-0.07312,0.662,1.459825,330,1683,21,20,1.05,45.2,1.9,0,7.5,-0.086605,0.5304625,,,,,,,
SB0437_S119,4.842932976,213,5724,4338,75.79,4151,3909,68.29,3826,66.84,9/13/19,2019,Sediment,post,8:03:00,20.2,1.9,E,7.8,0,1,P_0193,0.76635,-0.10102,0.7133,0.550138,420,1725,16.7,12,1.3,25.4,2.7,2,7.5,-0.102185,0.4386735,,,,,,,
SB0438_S120,4.693131634,219,10898,9744,89.41,8642,5268,48.34,4675,42.9,9/13/19,2019,Sediment,post,8:03:00,20.2,1.9,E,7.8,0,2,,,,,,360,1727,17.7,9,1.18,24.8,2.1,2,7.5,-0.102185,0.4386735,,,,,,,
SB0442_S124,3.074982858,101,7168,6345,88.52,5751,4319,60.25,3406,47.52,9/13/19,2019,Sediment,post,10:57:00,12.7,2,SE,7.8,0,2,,,,,,145,1732,22.2,12,1.42,29.2,3.3,0,7.5,-0.129555,1.789596,,,,,,,
SB0443_S125,4.703801283,219,12051,10815,89.74,9600,6015,49.91,5423,45,9/13/19,2019,Sediment,post,10:57:00,12.7,2,SE,7.8,0,3,,,,,,360,1711,21.6,40,1.23,27.7,2.4,0,7.4,-0.129555,1.789596,,,,,,,
SB0445_S127,5.000192128,280,17640,15849,89.85,14211,9249,52.43,8361,47.4,9/13/19,2019,Sediment,post,14:04:00,10.9,3,W,0,10,1,P_0197,0.7635,-0.09722,0.60975,2.936874,290,1678,22.6,20,1.33,29,8.3,3,7.5,-0.08743,2.188426,,,,,,,
SB0447_S129,4.183182313,137,5680,4852,85.42,4293,3313,58.33,3176,55.92,9/13/19,2019,Sediment,post,14:04:00,10.9,3,W,0,10,3,,,,,,240,1659,26.7,21,1.19,27,2.8,3,7.4,-0.08743,2.188426,,,,,,,
SB0450_S132,3.706786061,93,3351,2856,85.23,2611,2349,70.1,2261,67.47,9/13/19,2019,Sediment,post,17:07:00,10.4,1.9,W,0,5,2,,,,,,160,1675,25.7,23,1.32,22.5,3.5,3,7.4,-0.124565,2.145871,,,,,,,
SB0452_S134,4.254260937,164,9051,7881,87.07,7167,4896,54.09,4284,47.33,9/13/19,2019,Sediment,post,17:07:00,10.4,1.9,W,0,5,4,P_0200,0.7901,-0.13208,0.6019,3.225105,540,1671,21.3,17,1.15,26.4,2.4,1.5,7.5,-0.124565,2.145871,,,,,,,
SB0453_S135,5.292316121,311,15538,13699,88.16,12496,8229,52.96,7405,47.66,9/14/19,2019,Sediment,post,8:09:00,0,0,,7.8,0,1,P_0201,0.7712,-0.10745,0.60365,3.159074,200,1684,20.5,57,1.17,24.6,1.4,4,7.5,-0.08867,3.040017,,,,,,,
SB0455_S137,4.149897475,126,4847,4156,85.74,3739,3126,64.49,3061,63.15,9/14/19,2019,Sediment,post,8:09:00,0,0,,7.8,0,3,,,,,,80,1685,19.9,26,0.97,25.9,2.7,3.5,7.4,-0.08867,3.040017,,,,,,,
SB0457_S139,5.052837772,270,14169,12442,87.81,11343,7407,52.28,6777,47.83,9/14/19,2019,Sediment,post,11:05:00,0,3.8,W,7.8,0,1,P_0203,0.77955,-0.11842,0.67555,1.177392,300,1702,20.6,48,1.38,31.4,3.3,4,7.5,-0.10645,2.286593,,,,,,,
SB0458_S140,4.534120219,239,16041,14159,88.27,12796,8438,52.6,7260,45.26,9/14/19,2019,Sediment,post,11:05:00,0,3.8,W,7.8,0,2,,,,,,300,1710,23.9,10,1.17,49,3.9,5,7.5,-0.10645,2.286593,,,,,,,
SB0461_S143,4.54766593,139,4775,4278,89.59,3542,2129,44.59,1924,40.29,9/14/19,2019,Sediment,post,14:28:00,0,3.8,W,0,20,1,P_0205,0.7541,-0.08457,0.60785,3.00478,120,1722,20.9,38,1.4,57.6,2.2,4,7.5,-0.064675,2.6718885,,,,,,,
SB0465_S147,5.131017336,274,12352,10968,88.8,9930,6684,54.11,6072,49.16,9/14/19,2019,Sediment,post,17:16:00,0,2.6,W,0,3,1,P_0207,0.76635,-0.10102,0.61735,2.67657,180,1617,23.4,4,1.42,57.6,5.9,2,7.5,-0.082035,2.9680205,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.908448448,246.9431138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
